patch_id,category,observation,scope
case1_y2176_x1920,平滑页面背景,HYPIR 引入密集细颗粒而输入和 GT 较平滑,最差PSNR样本不含汉字
case1_y2048_x2560,平滑页面背景,HYPIR 底色略偏且有均匀颗粒,不能归类为字形错误
case1_y2304_x2432,平滑页面背景,HYPIR 生成细密纹理与 GT 平滑区域不一致,相对PSNR损害
case1_y1920_x2304,平滑页面背景,HYPIR 新增背景颗粒而 GT 无相同细节,相对PSNR损害
case2_y3200_x2688,书脊边界,HYPIR 将模糊分界生成深色硬边并新增颗粒,不含可评价的完整汉字
case2_y3456_x2688,书脊边界,HYPIR 生成高对比深色直线与 GT 边界观感不同,锐化不等于真实恢复
case2_y3200_x2432,书脊边界,HYPIR 强化双边界及细纹理且局部色调改变,相对PSNR损害
case2_y2432_x2432,书脊边界,HYPIR 线条更细黑锐利且平面有颗粒,与GT结构强度不匹配
case3_y1664_x2944,水面高频背景,HYPIR 新增分层细纹和锐利浪脊但 GT 仍模糊,不是海鸥主体样本
case3_y1408_x1152,水面高频背景,HYPIR 生成人为分层条带和碎裂状纹理,不能证明生成纹理真实
case3_y1024_x1152,水面高频背景,HYPIR 新增细碎网纹及硬边与 GT 不一致,背景生成不可靠
case3_y1920_x2944,水面高频背景,HYPIR 生成深色锐边和刻纹状浪脊,背景生成不可靠
case4_y2816_x1152,植物叶片,HYPIR 形成大块阔叶及不同叶脉而 GT 叶片布局不同,可见明显结构不一致
case4_y2688_x0000,植物叶片,HYPIR 生成大幅网格叶脉与 GT 较小叶片结构不符,可见明显结构不一致
case4_y0640_x1920,植物叶片,HYPIR 增加亮线叶脉和叶片形态且不对应 GT 枝叶,可见明显结构不一致
case4_y1408_x0768,植物枝叶,HYPIR 生成宽大片叶和亮边与 GT 细长叶片不符,不能将清晰感等同于忠实度
case5_y2560_x2304,建筑边框,HYPIR 在竖线底部生成尖锐三角连接而 GT 不同,局部结构失真
case5_y0000_x2944,建筑平面,HYPIR 表面颗粒更重且线框更硬,相对PSNR损害
case5_y0000_x0000,建筑平面与竖边,HYPIR 新增密集竖向纹理和局部反差,相对PSNR损害
case5_y2560_x1920,建筑小边角,HYPIR 将模糊小凸起生成锐利不规则尖角,小结构真实性无保证
